time,latitude
8.0,1.0
8.25,6.0
8.5,12.0
8.75,16.0
9.0,21.0
9.25,28.0
9.5,33.0
9.75,38.0
10.0,46.0
10.25,53.0
10.5,59.0
10.75,63.0
11.0,72.0
11.25,76.0
11.5,80.0
11.75,83.0
12.0,91.0
12.25,92.0
12.5,94.0
12.75,97.0
13.0,100.0
13.25,104.0
13.5,108.0
13.75,111.0
14.0,117.0
14.25,123.0
14.5,131.0
14.75,136.0
15.0,142.0
15.25,149.0
15.5,155.0
15.75,162.0
16.0,165.0
16.25,168.0
16.5,173.0
16.75,177.0
17.0,180.0
8.0,1.0
8.25,4.0
8.5,11.0
8.75,19.0
9.0,26.0
9.25,30.0
9.5,38.0
9.75,45.0
10.0,53.0
10.25,62.0
10.5,67.0
10.75,74.0
11.0,80.0
11.25,83.0
11.5,87.0
11.75,89.0
12.0,92.0
12.25,96.0
12.5,99.0
12.75,104.0
13.0,107.0
13.25,111.0
13.5,115.0
13.75,121.0
14.0,128.0
14.25,134.0
14.5,135.0
14.75,137.0
15.0,139.0
15.25,145.0
15.5,148.0
15.75,156.0
16.0,162.0
16.25,164.0
16.5,170.0
16.75,177.0
17.0,180.0
8.0,2.0
8.25,7.0
8.5,12.0
8.75,18.0
9.0,22.0
9.25,26.0
9.5,31.0
9.75,37.0
10.0,43.0
10.25,45.0
10.5,49.0
10.75,56.0
11.0,64.0
11.25,70.0
11.5,76.0
11.75,82.0
12.0,87.0
12.25,93.0
12.5,99.0
12.75,104.0
13.0,110.0
13.25,118.0
13.5,123.0
13.75,126.0
14.0,127.0
14.25,132.0
14.5,135.0
14.75,139.0
15.0,144.0
15.25,150.0
15.5,153.0
15.75,158.0
16.0,161.0
16.25,165.0
16.5,168.0
16.75,172.0
17.0,180.0
